trip_id,LBB,FTM,CPT,HJN,BKA,BKM,ASN,SNY,IST,BNH,STB,DKA,BHI,Full Trip
NS-WD-LBB-BHI-111,18:12:00,18:15:10,18:18:10,18:20:20,18:22:40,18:25:20,18:27:20,18:30:00,18:32:00,18:34:30,18:36:30,18:38:40,18:41:40,0:29:40
NS-WD-LBB-BHI-112,18:18:30,18:21:40,18:24:40,18:26:50,18:29:10,18:31:50,18:33:40,18:36:10,18:38:10,18:40:40,18:42:40,18:44:50,18:47:50,0:29:20
NS-WD-LBB-BHI-113,18:25:30,18:28:40,18:31:40,18:33:50,18:36:10,18:38:50,18:40:40,18:43:10,18:45:10,18:47:40,18:49:40,18:51:50,18:54:50,0:29:20
NS-WD-LBB-BHI-114,18:33:00,18:36:10,18:39:10,18:41:20,18:43:40,18:46:20,18:48:10,18:50:40,18:52:40,18:55:10,18:57:10,18:59:20,19:02:20,0:29:20
NS-WD-LBB-BHI-115,18:41:00,18:44:10,18:47:10,18:49:20,18:51:40,18:54:20,18:56:10,18:58:40,19:00:40,19:03:10,19:05:10,19:07:20,19:10:20,0:29:20
NS-WD-LBB-BHI-116,18:50:30,18:53:40,18:56:40,18:58:50,19:01:10,19:03:50,19:05:40,19:08:10,19:10:10,19:12:40,19:14:40,19:16:50,19:19:50,0:29:20
NS-WD-LBB-BHI-117,19:00:00,19:03:10,19:06:10,19:08:20,19:10:40,19:13:20,19:15:10,19:17:40,19:19:40,19:22:10,19:24:10,19:26:20,19:29:20,0:29:20
NS-WD-LBB-BHI-118,19:10:00,19:13:10,19:16:10,19:18:20,19:20:40,19:23:20,19:25:10,19:27:40,19:29:40,19:32:10,19:34:10,19:36:20,19:39:20,0:29:20
NS-WD-LBB-BHI-119,19:20:00,19:23:10,19:26:10,19:28:20,19:30:40,19:33:20,19:35:10,19:37:40,19:39:40,19:42:10,19:44:10,19:46:20,19:49:20,0:29:20
NS-WD-LBB-BHI-120,19:30:00,19:33:10,19:36:10,19:38:20,19:40:40,19:43:20,19:45:10,19:47:40,19:49:40,19:52:10,19:54:10,19:56:20,19:59:20,0:29:20
NS-WD-LBB-BHI-121,19:40:00,19:43:10,19:46:10,19:48:20,19:50:40,19:53:20,19:55:10,19:57:40,19:59:40,20:02:10,20:04:10,20:06:20,20:09:20,0:29:20
NS-WD-LBB-BHI-122,19:50:00,19:53:10,19:56:10,19:58:20,20:00:40,20:03:20,20:05:10,20:07:40,20:09:40,20:12:10,20:14:10,20:16:20,20:19:20,0:29:20
NS-WD-LBB-BHI-123,20:00:00,20:03:10,20:06:10,20:08:20,20:10:40,20:13:20,20:15:10,20:17:40,20:19:40,20:22:10,20:24:10,20:26:20,20:29:20,0:29:20
NS-WD-LBB-BHI-124,20:10:00,20:13:10,20:16:10,20:18:20,20:20:40,20:23:20,20:25:10,20:27:40,20:29:40,20:32:10,20:34:10,20:36:20,20:39:20,0:29:20
NS-WD-LBB-BHI-125,20:20:00,20:23:10,20:26:10,20:28:20,20:30:40,20:33:20,20:35:10,20:37:40,20:39:40,20:42:10,20:44:10,20:46:20,20:49:20,0:29:20
NS-WD-LBB-BHI-126,20:30:00,20:33:10,20:36:10,20:38:20,20:40:40,20:43:20,20:45:10,20:47:40,20:49:40,20:52:10,20:54:10,20:56:20,20:59:20,0:29:20
NS-WD-LBB-BHI-127,20:40:00,20:43:10,20:46:10,20:48:20,20:50:40,20:53:20,20:55:10,20:57:40,20:59:40,21:02:10,21:04:10,21:06:20,21:09:20,0:29:20
NS-WD-LBB-BHI-128,20:50:00,20:53:10,20:56:10,20:58:20,21:00:40,21:03:20,21:05:10,21:07:40,21:09:40,21:12:10,21:14:10,21:16:20,21:19:20,0:29:20
NS-WD-LBB-BHI-129,21:00:00,21:03:10,21:06:10,21:08:20,21:10:40,21:13:20,21:15:10,21:17:40,21:19:40,21:22:10,21:24:10,21:26:20,21:29:20,0:29:20
NS-WD-LBB-BHI-130,21:10:00,21:13:10,21:16:10,21:18:20,21:20:40,21:23:20,21:25:10,21:27:40,21:29:40,21:32:10,21:34:10,21:36:20,21:39:20,0:29:20
NS-WD-LBB-BHI-131,21:20:00,21:23:10,21:26:10,21:28:20,21:30:40,21:33:20,21:35:10,21:37:40,21:39:40,21:42:10,21:44:10,21:46:20,21:49:20,0:29:20
NS-WD-LBB-BHI-132,21:30:00,21:33:10,21:36:10,21:38:20,21:40:40,21:43:20,21:45:10,21:47:40,21:49:40,21:52:10,21:54:10,21:56:20,21:59:20,0:29:20
NS-WD-LBB-BHI-133,21:40:00,21:43:10,21:46:10,21:48:20,21:50:40,21:53:20,21:55:10,21:57:40,21:59:40,22:02:10,22:04:10,22:06:20,22:09:20,0:29:20
NS-WD-LBB-BHI-134,21:50:00,21:53:10,21:56:10,21:58:20,22:00:40,22:03:20,22:05:10,22:07:40,22:09:40,22:12:10,22:14:10,22:16:20,22:19:20,0:29:20
NS-WD-LBB-BHI-135,22:00:00,22:03:10,22:06:10,22:08:20,22:10:40,22:13:20,22:15:10,22:17:40,22:19:40,22:22:10,22:24:10,22:26:20,22:29:20,0:29:20
NS-WD-LBB-BHI-136,22:10:00,22:13:10,22:16:10,22:18:20,22:20:40,22:23:20,22:25:10,22:27:40,22:29:40,22:32:10,22:34:10,22:36:20,22:39:20,0:29:20
